Code	Locale	What is your level of proficiency with the target language?	"Does the target language use abbreviations formed from the first character of each word in a phrase (e.g., ""NATO"" <  ""North American Treaty Organization"", ""CIA"" < ""Central Intelligence Agency"")?"	Please provide 2-3 examples of abbreviations formed from the first character of each word in a phrase in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use abbreviations formed from the first syllable of each word in a phrase (e.g., ""FiDi"" < ""Financial District"", ""ForEx"" < ""foreign exchange"")?"	Please provide 2-3 examples of abbreviations formed from the first syllable of each word in a phrase in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use abbreviations formed by truncating characters at the ends of words (e.g., ""Col."" < ""Colonel"", ""Ave."" < ""Avenue"")?"	Please provide 2-3 examples of abbreviations formed by truncating characters at the ends of words in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use abbreviations formed by truncating characters at the ends of words and then adding ""augment"" suffixes (e.g., Australian English ""footie"" < ""football"", with an -ie augment, ""ambo"" < ""ambulance"" with an -o augment)?"	"Please provide 2-3 examples of abbreviations formed by truncating characters at the ends of words and then adding ""augment"" suffixes in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)"	"Does the target language use abbreviations formed by deleting characters (e.g., particularly vowels) from the middle of words (e.g., ""Blvd."" < ""Boulevard"", ""Sgt."" < ""Sergeant"")?"	Please provide 2-3 examples of abbreviations formed by deleting characters from the middle of words in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use any orthographic tricks to mark the inflection of abbreviations (e.g., Spanish ""'EE UU."" < ""Estados Unidos"" 'United States', with the doubling used to indicate that the abbreviation is plural)?"	Please provide 2-3 examples of inflected abbreviations in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use any particular orthographic tricks to abbreviate reduplication (e.g., Indonesian ""orang2"" < ""orangorang"" 'people', with ""2"" used to indicate reduplication)? Answer ""No"" if the target language does not have productive reduplication."	Please provide 2-3 examples of abbreviations for reduplication in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	Does the target language use any other style of abbreviation not yet covered?	Please provide 2-3 examples of these other style or styles, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to discussions of other styles of abbreviation in the target language.)
mr	Marathi	5	Yes	1. Abbreviated - उदा. For उदाहरणार्थ (For Example) 2. Abbreviated - इ. For इत्‍यादी (etc.)	Yes	1. MHADA (Maharashtra Housing and Development Corporation) - म्‍हाडा 2. Maharashtra Times - महाराष्‍ट्र टाइम्‍स - म.टा. 	Yes	1. Late - स्‍वर्गीय - Abbreviated - स्‍व. 2. Respected - माननीय Abbreviated - मा.	No		No		No		No		No	
ar-ms	Arabic (Modern Standard)	5	No		No		No		No		No		No		No		No	
kn	Kannada	5	No		No		No		No		No		No		No		Yes	ಕೆಪಿಎಸ್ (ಕರ್ನಾಟಕ ಪೊಲೀಸ್ ಸೇವೆ) - Karnataka Police Service ಸಿಇಟಿ (ಸಾಮಾನ್ಯ ಪ್ರವೇಶ ಪರೀಕ್ಷೆ) - Common Entrance Test ಸಿಎಂ (ಮುಖ್ಯಮಂತ್ರಿ) - Chief Minister Kannada language uses abbreviated form not as per the spelling or expansion in Kannada language but as per the abbreviation of English form i.e., if Prime Minister is abbreviated as PM, then Prime Minister is Translated here and the abbreviation PM is transliterated as ಪಿಎಂ
fa	Farsi	5	No		No		No		No		No		No		No		No	
bg	Bulgarian	5	Yes	БАН, Българска академия на науките, Bulgarian Academy of Sciences; МВР, Министерство на вътрешните работи, Ministry of Interior; БТА, Българска телеграфна агенция, Bulgarian News Agency	No		Yes	ул., улица, street; доц., доцент, associate professor; инж., инженер; engineer	No		Yes	вж., виж, refer to; млн., милиона, million	No		No		Yes	д-р, доктор, doctor; o-в, остров, island; у-ще, училище, school
bg	Bulgarian	5	Yes	БНБ, БАН, АЕЦ Some examples of relevant discussions - https://press.azbuki.bg/news/2016/ed216/news102016/, https://www.forumnauka.bg/topic/10002-%D1%81%D1%8A%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D1%8F-%D0%B8%D0%BD%D0%B8%D1%86%D0%B8%D0%B0%D0%BB%D0%B8-%D0%B0%D0%B1%D1%80%D0%B5%D0%B2%D0%B8%D0%B0%D1%82%D1%83%D1%80%D0%B8-%D0%B0%D0%BA%D1%80%D0%BE%D0%BD%D0%B8%D0%BC%D0%B8-%D0%BC%D0%BE%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%B8/	Yes	Селкооп, Интрансмаш	Yes	ул. - улица (street), бул. - булевард (boulevard), стр. - страница (page)	No		No		No		No		Yes	о-в – остров (island) г-н – господин (Mr.) г-жа – госпожа (Mrs.) г-ца – госпожица (miss) м/у – между (between) в/у – върху (on) с/у или с-у – срещу (opposite) вж. – виж, вижте (see) т.е. – тоест (i.e.)
pt-pt	Portuguese (European)	5	No		No		Yes	Senhor (Sir) > Sr., Número (Number) > N.º, Rua (Street) > R.	Yes	Motocicleta (motorcycle) > Moto, Metropolitano (Subway) > Metro	Yes	Senhor (Sir) > Sr., Número (Number) > N.º, Rua (Street) > R.	No		No		Yes	Com (With) > c/, Para (for) > p/
fa	Farsi	5	Yes	ساتنا (سامانه تسویه ناخالص آنی - RTGS, Real-time gross settlement)، ناجا (نیروی انتظامی جمهوری اسلامی ایران، NAJA, Police of the Islamic Republic of Iran)	Yes	برجام (برنامه راهبردی جامع اقدام مشترک، BARJAM, Joint Comprehensive Plan of Action)، (مرآ تو: مرکز آموزش توپخانه، MARATOU, Artillery Training Center)	Yes	ق. ظ. (قبل از ظهر، AM, ante meridiem)، ب. ظ. (بعد از ظهر، PM, post meridiem)	Yes	حسنی (حسن)، مصی (معصومه)	No		No		No		No	
as	Assamese	5	No		No		Yes	এপিএছচি (অসম লোকসেৱা আয়োগ) - Assam Public Service Commission   জেজেএম (জল জীৱন মিছন) - Jal Jeevan Mission   পিটিআই (প্ৰেছ ট্ৰাষ্ট অফ্ ইণ্ডিয়া) - Press Trust of India 	No		Yes	উঃ মাঃ বিদ্যালয় (উচ্চতৰ মাধ্যমিক বিদ্যালয়) - Higher Secondary School   কি.মি. (কিলোমিটাৰ) - Kilometer   সম্পা. (সম্পাদক) - Editor	No		No		No	
gu	Gujarati	5	Yes	એ.ડી.એ અમેરિકન ડેન્ટલ એસોસિએશન, American dental association/ એ.ડી.એ. અમેરિકન ફૂટબોલ લીગ American football league	Yes	ડો. ડોક્ટર Doctor પ્રો. પ્રોફેસર Professor	No		No		No		No		No		No	
zu	Zulu	5	No		No		No		No		Yes	The abbreviation for Missus in Zulu is Nkk which is short for Unkosikazi and the abbreviation for doctor in Zulu is Dkt which is short for Udokotela, vowels are removed in both instances.	No		No		No	
et	Estonian	5	Yes	Euroopa Liit - EL, European Union, EMÜ = Euroopa Majandusühendus, European Economic Community	Yes	 sots-dem – sotsiaaldemokraatia, social democracy; maj-­teadusk – majandusteaduskond, economics faculty	Yes	konv – konverents, conference; lüh – lühend, abbreviation	No		Yes	pst – puiestee, avenue; rmtk – raamatukogu, library	No		No		Yes	 AJUS – automaatjuhtimissüsteem, automatic control system (letters are added to get an abbreviation pronounced as a word)
et	Estonian	5	Yes	ERM - Eesti Rahva Muuseum (Estonian National Museum) RIA - Riigi Infosüsteemide Amet (Estonian Information System Authority) RMK - Riigimetsa Majandamise Keskus (State Forest Management Centre)	No		Yes	jun - juunior (junior) maj - majandus (economy) tel - telefon (phone)	Yes	seki - sekundit (seconds) 	Yes	rdtj -  raudteejaam (railway station) jsk - jaoskond (department) krt - korter (apartment)	No		No		No	
lv	Latvian	5	Yes	ZVA (Zāļu valsts aģentūra) - State Agency of Medicines PTO (Pasaules Tirdzniecības organizācija) - World Trade Organization	No		Yes	Prof. (Profesors) - Professor piem. (piemēram) - for example	No		No		No		No		No	
pt-pt	Portuguese (European)	5	Yes	OTAN: Organização do Tratado do Atlântico Norte (NATO) ONU: Organização das Nações Unidas (United Nations) UE: União Europeia (European Union) CPLP: Comunidade dos Países de Língua Portuguesa (Community of Portuguese Language Countries) PME: Pequenas e Médias Empresas (SMB)	Yes	FENPROF: Federação Nacional dos Professores (Portuguese teachers' trade union) ANACOM: Autoridade Nacional de Comunicações (Portuguese regulatory authority for the communications sector)	Yes	assoc.: associação (association) av.: avenida (avenue) pág.: página (page) técn.: técnico (technical) jan, fev, mar, abr, mai, jun, jul, ago, set, out, nov, dez: janeiro, fevereiro, março, abril, maio, junho, julho, agosto, setembro, outubro, novembro, dezembro (months of the year)	No		Yes	Dr. / Dra.: Doutor/Doutora (Doctor, M.D; note: two different forms for male and female) Ex.ª: Excelência (Sir, Your Excellency) Ex.mo / Ex.ma: Excelentíssimo/Excelentíssima (Sir, Your Excellency; note: two different forms for male and female) sr. / sra.: senhor/senhora (Sir, Madam; note: two different forms for male and female)	Yes	MM: Meritíssimo (Your Honor, the title to refer to a judge) AA.: autores (to indicate multiple authors)	No		No	
lt	Lithuanian	5	Yes	ES (Europos Sąjunga), JAV (Jungtinės Amerikos Valstijos)	No		Yes	pav. (paveikslėlis), val. (valanda)	Yes	info (informacija), auto (automobilis)	Yes	pvz. (pavyzdys), ždž. (žodžiai)	No		No		No	
sq	Albanian	5	Yes	OSBE: Organizata për Siguri dhe Bashkëpunim në Evropë (OSCE: Organization for Security and Cooperation in Europe) BE: Bashkimi Evropian (EU: European Union) Organizata e Kombeve të Bashkuara për Edukimin, Shkencën dhe Kulturën OKB: Organizata e Kombebe të Bashkuara (UN: United Nations) SPAK: Struktura e Posaçme kundër Korrupsionit dhe Krimit të Organizuar (SPAK: Special Courts against Corruption and Organised Crime)	Yes	MF: Ministria e Financave (Ministry of Finance)  d.m.th.: domethënë (i.e.)	Yes	Pall.: Pallati (Apt.: Apartment) Rr.: Rruga (St.: Street) Blvd.: Bulevardi (Blvd.: Bulevard)	No		Yes	Ing.: Inxhinier (Engineer) Dr.: Doctor (Doctor)	Yes	SHBA-të: Shetet e Bashkuara të Amerikës (USA) (-të indicates dhe plural form) 	Yes	Tafti-bafti: I will try it no matter what.	No	
ka	Georgian	5	Yes	ცსს (ცენტრალური სადაზვერვო სააგენტო) - CIA აშშ (ამერიკის შეერთებული შტატები) - USA	No		Yes	ბერძ. (ბერძნული) - Greek ლათ. (ლათინური) - Latin	No		Yes	შდრ. (შეადარე) - Compare	No		No		Yes	ჯანმო (ჯანდაცვის მსოფლიო ორგანიზაცია) - WHO
sl	Slovenian	5	Yes	ZN - Združeni narodi (UN - United Nations); SZO - Svetovna zdravstvena organizacija (WHO - World Health Organisation); 	No		Yes	univ. dipl. - Univerzitetni diplomirani (BA - Bachelor of Arts); mag. - Magister (Ma - Master of Arts)	No		No		No		No		No	
lt	Lithuanian	5	Yes	Šalys prisijungs prie NATO (Šiaurės Atlanto sutarties organizacija, North Atlantic Treaty Organization); JTO priimti dokumentai (Jungtinių Tautų Organizacija, The United Nations).	Yes	FOREX (Valiutų rinka, Foreign Exchange market) prognozės; Interpolas (International Criminal Police Organization, INTERPOL) išplatino įtariamųjų nuotraukas.	Yes	5 min. (minutės, minutes); 10 psl. (puslapis, page)	No		No		No		No		Yes	abbreviation by eliminating some part(s) of the word: škia (reiškia) - eng. it means/that is; žėk (žiūrėk) - eng. look.
sq	Albanian	5	Yes	BE: Bashkimi Evropian (European Union) KE: Komuniteti Evropian (European Community) OKB: Organizata e Kombeve të Bashkuara (United Nations) p.sh.: për shembull (for example)	No		Yes	min.: minimal (minimum) maks.: maksimal (maximum) zyr.: zyrtarisht (officially)	No		Yes	cm: centimetër (centimeter) VL: verilindje (Northeast) d.m.th.: domethënë (that is, i.e.)	Yes	OJQ-të: organizatat jofitimprurëse (non-profit organizations); OD-ja: organi drejtues (governing body (in the definite form, nominative case))	No		No	
zu	Zulu	5	No		No		Yes	Full name = Mnumzane | Abbreviation = Mnu. | English = Mr Full name = Mashi | Abbreviation = Mas | English = March	No		Yes	Full name = Nkosazana | Abbreviation = Nks | English = Princess/Single woman Full name = Nkosikazi | Abbreviation = Nksz | English = Missus/Wife/Madam	No		No		No	
gu	Gujarati	4	Yes	1. ભાજપ‌ - ભારતીય જનતા પાર્ટી (Bharatiya Janata Party) 2. ગં. સ્વ. - ગંગા સ્વરૂપ (used for a widow with respect) 3. ઉ. વ. - ઉંમર વર્ષ (to denote somebody's age)	Yes	1. ભાજપ‌ - ભારતીય જનતા પાર્ટી (Bharatiya Janata Party) 2. ગં. સ્વ. - ગંગા સ્વરૂપ (used for a widow with respect) 3. ઉ. વ. - ઉંમર વર્ષ (to denote somebody's age)  Abbreviations in Gujarati are mostly based on the syllables. Hence the previous answer and this answer are similar.	Yes	ડૉ. - ડોક્ટર (Doctor) સોમ. - સોમવાર (Monday) જાન્યુ. - જાન્યુઆરી (January)	No		No		No		No		No	
pa-sh	Punjabi (Shahmukhi)	5	Yes	ਭਾਰਤੀਏ  ਰਿਜ਼ਰਵ ਬੈਂਕ  (ਆਰ ਬੀ ਆਈ) (Reserve Bank of India, (RBI), ਕੇਂਦਰੀ ਜਾਂਚ ਬਿਊਰੋ (ਸੀ.ਬੀ.ਆਈ.) Central Bureau of Investigation (CBI), ਵਿਸ਼ਵ ਸਿਹਤ ਸੰਗਠਨ (ਡਬਲਯੂ ਐਚ ਓ) World Health Organization (WHO)	Yes	AllMS: All India Institute of Medical Sciences  ਐਆਈਆਈਐਮਐਸ: ਆਲ ਇੰਡੀਆ ਇੰਸਟੀਚਿਊਟ ਆਫ਼ ਮੈਡੀਕਲ ਸਾਇੰਸਿਜ਼,BBC: British Broadcasting Corporation  ਬੀਬੀਸੀ: ਬ੍ਰਿਟਿਸ਼ ਬ੍ਰਾਡਕਾਸਟਿੰਗ ਕਾਰਪੋਰੇਸ਼ਨ,DD: Demand Draft ਡੀਡੀ: ਡਿਮਾਂਡ ਡਰਾਫਟ	No		No		No		No		No		No	
pa-sh	Punjabi (Shahmukhi)	5	No		No		No		No		No		No		No		No	
pa-sh	Punjabi (Shahmukhi)	5	Yes	ایس او پی (اسٹینڈرڈ آپریٹنگ پروسیجر) (SOP (Standard Operating Procedure  سی ٹی (کمپیوٹڈ ٹومو گرافی) Computed Tomography سی آئی ایس پی آر (کامیٹی انٹرنیشنل اسپیشل ڈیس پرٹربیکیشن) CISPR (Comité International Spécial des Perturbations)	Yes	 یونیسکو(اقوام متحدہ تعلیمی، علمی تے ثقافتی تنظیم) UNESCO (United Nations Educational, Scientific and  Cultural Organization) بھاجپا (بھارتی جنتا پارٹی) (Bharti Janta Party) BJP  	No		No		No		No		No		No	
ka	Georgian	5	Yes	ნატო: ჩრდილოატლანტიკური ხელშეკრულების ორგანიზაცია (North Atlantic Treaty Organization) აშშ: ამერიკის შეერთებული შტატები (United States of America)  სსრკ: საბჭოთა სოციალისტური რესპუბლიკების კავშირი (Union of Soviet Socialist Republics)	Yes	გაერო: გაერთიანებული ერების ორგანიზაცია (United Nations) ჯანმო: ჯანდაცვის მსოფლიო ორგანიზაცია (World Health Organization)	Yes	გვ.: გვერდი (Page) რედ.: რედაქტორი (Editor) სახელმწ.: სახელმწიფო (State)	No		No		No		No		No	
hy	Armenian	5	Yes	Ընդունել են ՄԱԱՊ միջազգային լիգայի նախագահին։ ՄԱԶԾ [Միավորված ազգերի [կազմակերպության] զարգացման ծրագիր] - ՀՀ կառավարությունը, ՄԱԶԾ և ՄԱԿ-ի գլոբալ էկոլոգիական հիմնադրամը համատեղ մշակեցին մի ծրագիր: 	Yes	ՄԱԾ [Մարքեթինգի աջակցության ծրագիր] - Գյումրիի «Վանատուր» ընկերությունը արդեն երեք տարի է, ինչ համագործակցում է ԳԴ ՄարԱջԾր-ի գրասենյակի հետ: ՊետԱավ (հզվդ.) [պետական անվտանգության ….] - Անցյալում ՊետԱնվ նախարարի տեղակալը …. հայտարարեց: 	Yes	ՊԵՏ [պետավտոտեսչություն] - Մինչև Երևան հասնելը ավտոբուսը կանգնեցվեց ևս 2 անգամ՝ ՊԵՏ-ի աշխատակիցների կողմից: Կ* [կոն․] - …. 378 մլն դրամ ուղղել է «Հայգազ» Կոն․  օգուտներին:	No		No		No		No		No	
yo	Yorùbá	5	Yes	WHO: Àjọ Ìlera Àgbáyé (World Health Organization) CAF: Àjọ Bọ́ọ̀lù  Aláfẹsẹ̀gbá Ilẹ̀ Afrika (The Confederation of African Football) UN: Àgbáríjọ àwọn Orílẹ̀-èdè L'ágbàáyé (United Nations)	Yes	FiDi: Agbègbè Ìṣúná owó (Financial District) ForEx: Káràkátà Owó Ìlú mìíràn (foreign exchange)	Yes	Col.: ọ̀gá kọ́nẹ́lì (Colonel)	No		Yes	Str.: Òpópónà (Street)  Sgt.: Sajẹnti (Sergeant)	No		No		No	
sl	Slovenian	5	Yes	Združene države Amerike (ZDA) - United States of America (USA)  Svetovna zdravstvena organizacija (SZO, WHO) - World Health Organization (WHO) 	Yes	Tosama (To-sa-ma) – Tovarna sanitetnega materiala (To - varna sa - nitetnega ma - teriala) Nolit (No-lit) - Nova literatura (No-va lit-eratura)	Yes	ga. (gospa) - Mrs mag. (magister) dr. (doktor) - doctor	Yes	knjigovez (knjig-o-vez) - tisti, ki veže knjige - bookbinder zobozdravnik (zob-o-zdravnik) - zobni zdravnik - dentist	Yes	sln. - slovenski, slovensko - Slovenian gdč. – gospodična - miss mrd. – milijarda  - billion tč. – točka - point zf. - znanstvenofantastični - science fiction, sh. - srbohrvaški -  Serbo-Croatian, ide. - indoevropski  - Indo-European	No		No		Yes	dr. dr. ‘dvojni doktor’ -  ddr. - 'double doctor' - / dddr. ‘trojni doktor’ -  'triple doctor'  mmag. ‘dvojni magister’-  'double master'.
sr	Serbian	5	Yes	УН - Ујединњене нације (United nations); ОЕБС - Организација за европску безбедност и сарадњу (Organization for Security and Cooperation in Europe)	No		Yes	јан. - јануар (January); макс. - максимум (maximum), нпр. - на пример (for example)	No		No		No		No		No	
ro	Romanian	5	Yes	ME – Ministerul Educației, SRL - Societate cu răspundere limitată, ANAF - Agenția Națională de Administrare Fiscală	No		Yes	i don't remeber	No		Yes	str - stradă, bul - bulevard	No		No		No	
hy	Armenian	5	Yes	ՄԱԿ։ Միացյալ Ազգերի Կազմակերպություն (United Nations) ԵՄ։ Եվրոպական Միություն (Europian Union) ԱԱԾ։ Ազգային Անվտանգության Ծառայություն (National Security Service)	Yes	Ուսմասվար։ Ուսումնական մասի վարիչ (The head of the educational department) Աշխղեկ։ Աշխատանքային ղեկավար (Work supervisor) Հայհեղկոմ։ Հայաստանի հեղափոխական կոմիտե (Armenian Revolutionary Committee)	Yes	նրբ․ ։ նրբանցք (entrance) փ․ ։ փողոց (street) բն․ ։ բնակարան (appartement)	No		No		No		No		Yes	MIXED: Abbreviations that can include initial letters, syllables, and complete roots of the words of the conjunction Սևան հէկ։ Սևանի հիդրոէլեկտրակայան (Sevan hydroelectric power station) անտառտնտեսություն: անտառային տնտեսություն (forestry) շինհրապարակ: շինարարական հրապարակ (construction site)
lv	Latvian	5	Yes	LV: EEZ - Eiropas Ekonomikas zona; EN: EEA - European Economic Area LV: ES - Eiropas Savienība; EN: EU - European Union	No		Yes	LV: milj. - miljons; EN: mill. - million LV: janv. - janvāris; EN: Jan. - January LV: prof. - profesors; EN: prof. - professor	No		Yes	LV: lpp. - lappuse; EN: p. - page LV: gs. - gadsimts; EN: cent. - century LV: dsk. - daudzskaitlis; EN: pl. - plural	No		No		No	
ar-ml	Arabic (Magrebi, Latin)	5	Yes	(ا.ع.ش.م) الاتحاد العام للشغالين بالمغرب: General Union of Workers in Morocco .  الشراط على رأس (ا.ع.ش.م)  الذي يعد نقابة مغربية تابعة لحزب الاستقلال.  http://ugtm.ma/contact/ (في دي تي) الكونفدرالية الديمقراطية للشغل : Confédération démocratique du travail نوبير الأموي زعيم الكونفدرالية الديموقراطية للشغل https://cdtmaroc.ma/ Democratic Federation of Labor 	Yes	النقابة الوطنية للصحافة المغربية SNPM:  Syndicat National de la Presse Marocaine  تابع SNPM باهتمام التطورات الكثيرة المتلاحقة المتعلقة بالأوضاع المقلقة السائدة في وكالة المغرب العربي للأنباء،https://www.snpm.ma/ يونيتام :The National Labor Union of Morocco الاتحاد الوطني للشغل بالمغرب UNTM: L'Union Nationale du Travail du Maroc يونيتام مركز نقابي مغربي تم إنشاؤه سنة 1973 https://untm.org.ma/ National Labor Union in Morocco	Yes	Professor :prof: أستاذ جامعي بروف عدنان الرمال.. بروفيسور مغربي يطور عقار جديد  Doctor : doc : طبيب ومشيت هضرت مع دوك الكلينيك كنعرف واش الحالة دابا Mecanic: mechanical: ميكانسيان هاد السيارات ايلا شريتيهم غاتولي صديق الميكانسيان .. عنداك تشريهم. https://www.youtube.com/watch?v=0wX5bklp_mY 	No		No		Yes	 slt :مرحبا : Hi bnj : صباح الخير مرحبا : Good Morning cv؟:  كيفك : How are you mrc : شكرا : thanks merci bcp : شكرا جزيلا : thanks a lot 2r1 : عفوا : not at all SVP : من فضلك: please dacc : حسنًا : ok wé :  نعم : Yes nn : لا : No	No		No	
ar-gu	Arabic (Gulf, Latin)	5	Yes	ق.م. : قبل الميلاد (before Christ)  ش.ذ.م.م. : شركة ذات مسئولية محدودة (Limited Liability Company) ج.م.ع.: جمهورية مصر العربية (Arab Republic of Egypt)	Yes	إلخ.: إلى آخره (and so forth) حوقلة: قول لا حول ولا قوة إلا بالله (Saying there is no power or strength except by Allah) دمعز: 'أدام الله عزك (May God bless you)	Yes	د. : دكتور (Doctor) سم: سنتيمتر (centimeter)	No		No		No		No		No	
ar-gu	Arabic (Gulf, Latin)	5	Yes	"1- LLC (Limited Liability Company), in Arabic it is (ش.م.م ""شركة مساهمة محدودة"") 2- RAFO (Royal Air Force of Oman), in Arabic it is (س ج س ع ""سلاح الجو السلطاني العماني"")"	No		No		No		No		No		No		No	
lv	Latvian	5	Yes	VID: Valsts ieņēmumu dienests (State Revenue Service);  ANO: Apvienoto Nāciju Organizācija (United Nations); NBS: Nacionālie bruņotie spēki (National Armed Forces)	No		Yes	Tējk.: tējkarote (teaspoon); Skat.: skatīt (see); Apm.: apmēram (approximately)	No		No		No		No		No	
be	Belarusian	4	Yes	СНД (Садружнасць Незалежных Дзяржаў - Commonwealth of Independent States) СМI (сродки масавай iнфармацыi - mass media organisation) ААН (Арганізацыя Аб'яднаных Нацый - United Nations Organization)	Yes	РыбГас (Рыбная гаспадарка - fisheries) гарвыканкам (гарадскі выканаўчы камітэт - city government)	Yes	вул. (вуліца - street) анс. (ансамбль - ensemble) вобл. (вобласць - district)	No		No		No		No		Yes	Combined abbreviations: БелТА (Беларускае тэлеграфнае агенцтва - Belarusian Telegraph Agency) ГарАНА (Гарадскі аддзел народнай асветы - city department of public education)
fa	Farsi	5	Yes	ناجا (نیروی انتظامی جمهوری اسلامی) (Law Enforcement Command of the I.R. Iran) هما (هواپیمایی ملی ایران) (National Airline of Iran)	Yes	پاسام (شنوایی‌سنجی پاسخ ساقه مغز) (Auditory Brainstem Response) سیبا (سامانه یکپارچه بانکی) (Integrated Banking System)	No		No		No		No		No		Yes	Compression: Deleting two or more characters from the words الخ (الی آخر) (so on)  Shortening: Deleting part of the word from its end or beginning آز (آزمایشگاه) (lab) رض (رضوان‌الله علیه) (May Allah be pleased with him/her)
be	Belarusian	5	Yes	ВАВ: Вялiкая Айчынная вайна (Great Patriotic War) ААТ: Адкрытае акцыянернае таварыства (a public joint-stock company or an open joint-sock company) НАН: Нацыянальная акадэмія навук (National Academy of Sciences)	Yes	Спецкар: спецыяльны карэспандэнт (special correspondent) Мiнздрау: Мiнiстэрства аховы здароўя (the Ministry of Health) 	Yes	"пр.: праспект (Avenue) ""вул."": вулiца (Street)"	No		Yes	см: сантыметр (centimeter) кг: кілаграм (kilogram) км: кіламетр (kilometer)	Yes	"стст.: стагоддзi (centuries) ""сс."": старонкi (pages)"	No		Yes	БелТА: Беларускае тэлеграфнае агенцтва (Belarusian Telegraph Agency or BelTA)  Беллiтфонд: Беларускi лiтаратурны фонд (Belarusian literary fund)
ro	Romanian	4	Yes	ONU Organizația Națiunilor Unite United Nations Organization UE Uniunea Europeana European Union SRL Societate cu Răspundere Limitată Limited liability company 	Yes	 op.cit.  opera citată work cited serg.-maj. sergent major sergeant major	Yes	Col. Colonel Colonel sept. Septembrie September	No		Yes	blvd. bulevardul boulevard D-stra Dumneavoastra You	No		No		No	
be	Belarusian	5	Yes	1. АДКБ - Арганізацыя Дагавора аб калектыўнай бяспецы CSTO -The Collective Security Treaty Organization  2. СНД - Садружнасць Незалежных Дзяржаў CIS - The Commonwealth of Independent States  	No		Yes	1. Пл. - Плошча  Av.  - Avenue  2. Вул. - Вулiца St. - Street 	No		No		No		No		No	
lt	Lithuanian	5	Yes	LNOBT: Lietuvos nacionalinis operos ir baleto teatras (Lithuanian National Opera and Ballet Theatre), LAT: Lietuvos Aukščiausiasis Teismas (Supreme Court of Lithuania), KTU: Kauno technologijos universitetas (Kaunas University of Technology)	No		Yes	al. (alėja) - alley, dir. (direktorius) - director, tel. (telefonas) - phone	No		Yes	kpt. (kapitonas) - captain, mst. (miestas) - town, pvz. (pavyzdžiui) - for example	No		No		Yes	a. (aikštė) - square, m-kla (mokykla) - school, š. m. (šių metų) - this year
ar-gu	Arabic (Gulf, Latin)	5	Yes	1- RAFO (Royal Air Force of Oman) in Arabic: س ج س ع (سلاح الجو السلطاني العماني) 2- ROP (Royal Oman Police) in Arabic: ش ع س (شرطة عمان السلطانية) 3- LLC (Limited Liability Company) in Arabic: ش م م (شركة مساهمة محدودة)	No		No		No		No		No		No		No	
kn	Kannada	5	Yes	1. ಕ.ರಾ.ರ.ಸಾ.ಸಂ- ಕರ್ನಾಟಕ ರಾಜ್ಯ ರಸ್ತೆ ಸಾರಿಗೆ ಸಂಸ್ಥೆ ( Karnataka State Road Transport Corporation) 2. ಕ.ರಾ.ವಿ.ನಿ.ಪ್ರಾ- ಕರ್ನಾಟಕ ರಾಜ್ಯ ವಿಪತ್ತು ನಿರ್ವಹಣಾ ಪ್ರಾಧಿಕಾರ ( Karnataka State Disaster Management Authority) 3. ಕ್ರ. ಸಂ- ಕ್ರಮ ಸಂಖ್ಯೆ ( Serial number) 4. ಪು. ತಿ. ನೋ- ಪುಟ ತಿರುಗಿಸಿ ನೋಡು (Page turn over)	No		No		No		No		No		No		No	
sr	Serbian	5	Yes	BIA: Безбедносно-информативна агенција (The Security Intelligence Agency),  AGROS: Активна геодетска референтна основа Србије (Geodetic reference network of Serbia )	No		Yes	бр. : број (number) стр. : страница (page)	No		No		No		No		No	
et	Estonian	5	Yes	ÜRO: Ühinenud Rahvaste Organisatsioon (United Nations) EL: Euroopa Liit (European Union) jne: ja nii edasi (and so forth)	Yes	KAPO: Kaitsepolitsei (Security Police) masu: majandussurutis (economic depression)	Yes	maj: majandus (economy) okt: oktoober (October) saj: sajand (century)	Yes	telo: telefon (telephone) jalka: jalgpall (football) * This form of abbreviation is used almost exclusively in colloquial speech.	Yes	knd: kandidaat (candidate) kpl: kauplus (shop) mnt: maantee (road)	No		No		No	
